Experiment Name,Map Name,Instance Name,# Agents,Solver,Solved,Valid,Elapsed Time (ms),Solution Cost,Solution,Start Date,Processor Info
"All Instances in Test Benchmark","brc202d-10-0","brc202d-10-0","10","CBS","1","1","217","1468","","Sun Apr 02 22:39:10 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-1","brc202d-10-1","10","CBS","1","1","142","1787","","Sun Apr 02 22:39:11 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-2","brc202d-10-2","10","CBS","1","1","180","1681","","Sun Apr 02 22:39:11 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-3","brc202d-10-3","10","CBS","1","1","146","1150","","Sun Apr 02 22:39:12 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-4","brc202d-10-4","10","CBS","1","1","139","1245","","Sun Apr 02 22:39:12 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-5","brc202d-10-5","10","CBS","1","1","175","1359","","Sun Apr 02 22:39:13 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-6","brc202d-10-6","10","CBS","1","1","125","1445","","Sun Apr 02 22:39:13 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-7","brc202d-10-7","10","CBS","1","1","119","873","","Sun Apr 02 22:39:14 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-8","brc202d-10-8","10","CBS","1","1","3039","1187","","Sun Apr 02 22:39:14 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-10-9","brc202d-10-9","10","CBS","1","1","155","1309","","Sun Apr 02 22:39:18 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-0","brc202d-15-0","15","CBS","1","1","208","1533","","Sun Apr 02 22:39:18 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-1","brc202d-15-1","15","CBS","1","1","199","1487","","Sun Apr 02 22:39:19 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-2","brc202d-15-2","15","CBS","1","1","202","2108","","Sun Apr 02 22:39:19 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-3","brc202d-15-3","15","CBS","1","1","200","2249","","Sun Apr 02 22:39:20 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-4","brc202d-15-4","15","CBS","1","1","2716","2081","","Sun Apr 02 22:39:20 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-5","brc202d-15-5","15","CBS","1","1","270","1553","","Sun Apr 02 22:39:23 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-6","brc202d-15-6","15","CBS","1","1","204","1811","","Sun Apr 02 22:39:24 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-7","brc202d-15-7","15","CBS","1","1","198","1809","","Sun Apr 02 22:39:25 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-8","brc202d-15-8","15","CBS","1","1","191","1333","","Sun Apr 02 22:39:25 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-15-9","brc202d-15-9","15","CBS","1","1","197","1677","","Sun Apr 02 22:39:26 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-0","brc202d-20-0","20","CBS","1","1","268","3267","","Sun Apr 02 22:39:26 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-1","brc202d-20-1","20","CBS","1","1","266","2673","","Sun Apr 02 22:39:27 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-2","brc202d-20-2","20","CBS","1","1","271","2850","","Sun Apr 02 22:39:28 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-3","brc202d-20-3","20","CBS","1","1","262","2077","","Sun Apr 02 22:39:28 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-4","brc202d-20-4","20","CBS","1","1","845","3049","","Sun Apr 02 22:39:29 IDT 2023","N/A"
"All Instances in Test Benchmark","brc202d-20-5","brc202d-20-5","20","CBS","1","1","321","2303","","Sun Apr 02 22:39:30 IDT 2023","N/A"
